WHO.lineage	pangolin.lineage	synonym	cdc.classification
Omicron	BA.2.79.1	B.1.1.529.2.79.1	VOC
Omicron	BA.2.8	B.1.1.529.2.8	VOC
Omicron	BA.2.80	B.1.1.529.2.80	VOC
Omicron	BA.2.81	B.1.1.529.2.81	VOC
Omicron	BA.2.82	B.1.1.529.2.82	VOC
Omicron	BA.2.9	B.1.1.529.2.9	VOC
Omicron	BA.2.9.1	B.1.1.529.2.9.1	VOC
Omicron	BA.2.9.2	B.1.1.529.2.9.2	VOC
Omicron	BA.2.9.3	B.1.1.529.2.9.3	VOC
Omicron	BA.2.9.4	B.1.1.529.2.9.4	VOC
Omicron	BA.2.9.5	B.1.1.529.2.9.5	VOC
Omicron	BA.2.9.6	B.1.1.529.2.9.6	VOC
Omicron	BA.2.9.7	B.1.1.529.2.9.7	VOC
Omicron	BA.3	B.1.1.529.3	VOC
Omicron	BA.3.1	B.1.1.529.3.1	VOC
Omicron	BA.4	B.1.1.529.4	VOC
Omicron	BA.4.1	B.1.1.529.4.1	VOC
Omicron	BA.4.1.1	B.1.1.529.4.1.1	VOC
Omicron	BA.4.1.10	B.1.1.529.4.1.10	VOC
Omicron	BA.4.1.2	B.1.1.529.4.1.2	VOC
Omicron	BA.4.1.3	B.1.1.529.4.1.3	VOC
Omicron	BA.4.1.4	B.1.1.529.4.1.4	VOC
Omicron	BA.4.1.5	B.1.1.529.4.1.5	VOC
Omicron	BA.4.1.6	B.1.1.529.4.1.6	VOC
Omicron	BA.4.1.8	B.1.1.529.4.1.8	VOC
Omicron	BA.4.1.9	B.1.1.529.4.1.9	VOC
Omicron	BA.4.2	B.1.1.529.4.2	VOC
Omicron	BA.4.3	B.1.1.529.4.3	VOC
Omicron	BA.4.4	B.1.1.529.4.4	VOC
Omicron	BA.4.5	B.1.1.529.4.5	VOC
Omicron	BA.4.6	B.1.1.529.4.6	VOC
Omicron	BA.4.6.1	B.1.1.529.4.6.1	VOC
Omicron	BA.4.6.2	B.1.1.529.4.6.2	VOC
Omicron	BA.4.6.3	B.1.1.529.4.6.3	VOC
Omicron	BA.4.6.4	B.1.1.529.4.6.4	VOC
Omicron	BA.4.6.5	B.1.1.529.4.6.5	VOC
Omicron	BA.4.7	B.1.1.529.4.7	VOC
Omicron	BA.5	B.1.1.529.5	VOC
Omicron	BA.5.1	B.1.1.529.5.1	VOC
Omicron	BA.5.1.1	B.1.1.529.5.1.1	VOC
Omicron	BA.5.1.10	B.1.1.529.5.1.10	VOC
Omicron	BA.5.1.11	B.1.1.529.5.1.11	VOC
Omicron	BA.5.1.12	B.1.1.529.5.1.12	VOC
Omicron	BA.5.1.15	B.1.1.529.5.1.15	VOC
Omicron	BA.5.1.18	B.1.1.529.5.1.18	VOC
Omicron	BA.5.1.2	B.1.1.529.5.1.2	VOC
Omicron	BA.5.1.20	B.1.1.529.5.1.20	VOC
Omicron	BA.5.1.21	B.1.1.529.5.1.21	VOC
Omicron	BA.5.1.22	B.1.1.529.5.1.22	VOC
Omicron	BA.5.1.23	B.1.1.529.5.1.23	VOC
Omicron	BA.5.1.24	B.1.1.529.5.1.24	VOC
Omicron	BA.5.1.25	B.1.1.529.5.1.25	VOC
Omicron	BA.5.1.27	B.1.1.529.5.1.27	VOC
Omicron	BA.5.1.28	B.1.1.529.5.1.28	VOC
Omicron	BA.5.1.29	B.1.1.529.5.1.29	VOC
Omicron	BA.5.1.3	B.1.1.529.5.1.3	VOC
Omicron	BA.5.1.30	B.1.1.529.5.1.30	VOC
Omicron	BA.5.1.31	B.1.1.529.5.1.31	VOC
Omicron	BA.5.1.32	B.1.1.529.5.1.32	VOC
Omicron	BA.5.1.4	B.1.1.529.5.1.4	VOC
Omicron	BA.5.1.5	B.1.1.529.5.1.5	VOC
Omicron	BA.5.1.6	B.1.1.529.5.1.6	VOC
Omicron	BA.5.1.7	B.1.1.529.5.1.7	VOC
Omicron	BA.5.1.8	B.1.1.529.5.1.8	VOC
Omicron	BA.5.1.9	B.1.1.529.5.1.9	VOC
Omicron	BA.5.10	B.1.1.529.5.10	VOC
Omicron	BA.5.10.1	B.1.1.529.5.10.1	VOC
Omicron	BA.5.11	B.1.1.529.5.11	VOC
Omicron	BA.5.2	B.1.1.529.5.2	VOC
Omicron	BA.5.2.1	B.1.1.529.5.2.1	VOC
Omicron	BA.5.2.11	B.1.1.529.5.2.11	VOC
Omicron	BA.5.2.12	B.1.1.529.5.2.12	VOC
Omicron	BA.5.2.13	B.1.1.529.5.2.13	VOC
Omicron	BA.5.2.14	B.1.1.529.5.2.14	VOC
Omicron	BA.5.2.16	B.1.1.529.5.2.16	VOC
Omicron	BA.5.2.18	B.1.1.529.5.2.18	VOC
Omicron	BA.5.2.19	B.1.1.529.5.2.19	VOC
Omicron	BA.5.2.2	B.1.1.529.5.2.2	VOC
Omicron	BA.5.2.20	B.1.1.529.5.2.20	VOC
Omicron	BA.5.2.21	B.1.1.529.5.2.21	VOC
Omicron	BA.5.2.22	B.1.1.529.5.2.22	VOC
Omicron	BA.5.2.23	B.1.1.529.5.2.23	VOC
Omicron	BA.5.2.24	B.1.1.529.5.2.24	VOC
Omicron	BA.5.2.25	B.1.1.529.5.2.25	VOC
Omicron	BA.5.2.26	B.1.1.529.5.2.26	VOC
Omicron	BA.5.2.27	B.1.1.529.5.2.27	VOC
Omicron	BA.5.2.28	B.1.1.529.5.2.28	VOC
Omicron	BA.5.2.29	B.1.1.529.5.2.29	VOC
Omicron	BA.5.2.3	B.1.1.529.5.2.3	VOC
Omicron	BA.5.2.31	B.1.1.529.5.2.31	VOC
Omicron	BA.5.2.32	B.1.1.529.5.2.32	VOC
Omicron	BA.5.2.33	B.1.1.529.5.2.33	VOC
Omicron	BA.5.2.34	B.1.1.529.5.2.34	VOC
Omicron	BA.5.2.35	B.1.1.529.5.2.35	VOC
Omicron	BA.5.2.37	B.1.1.529.5.2.37	VOC
Omicron	BA.5.2.4	B.1.1.529.5.2.4	VOC
Omicron	BA.5.2.42	B.1.1.529.5.2.42	VOC
Omicron	BA.5.2.43	B.1.1.529.5.2.43	VOC
Omicron	BA.5.2.44	B.1.1.529.5.2.44	VOC
Omicron	BA.5.2.45	B.1.1.529.5.2.45	VOC
Omicron	BA.5.2.47	B.1.1.529.5.2.47	VOC
Omicron	BA.5.2.48	B.1.1.529.5.2.48	VOC
Omicron	BA.5.2.49	B.1.1.529.5.2.49	VOC
Omicron	BA.5.2.6	B.1.1.529.5.2.6	VOC
Omicron	BA.5.2.7	B.1.1.529.5.2.7	VOC
Omicron	BA.5.2.8	B.1.1.529.5.2.8	VOC
Omicron	BA.5.2.9	B.1.1.529.5.2.9	VOC
Omicron	BA.5.3	B.1.1.529.5.3	VOC
Omicron	BA.5.3.1	B.1.1.529.5.3.1	VOC
Omicron	BA.5.3.2	B.1.1.529.5.3.2	VOC
Omicron	BA.5.3.3	B.1.1.529.5.3.3	VOC
Omicron	BA.5.3.4	B.1.1.529.5.3.4	VOC
Omicron	BA.5.3.5	B.1.1.529.5.3.5	VOC
Omicron	BA.5.5	B.1.1.529.5.5	VOC
Omicron	BA.5.5.1	B.1.1.529.5.5.1	VOC
Omicron	BA.5.5.2	B.1.1.529.5.5.2	VOC
Omicron	BA.5.5.3	B.1.1.529.5.5.3	VOC
Omicron	BA.5.6	B.1.1.529.5.6	VOC
Omicron	BA.5.6.1	B.1.1.529.5.6.1	VOC
Omicron	BA.5.6.2	B.1.1.529.5.6.2	VOC
Omicron	BA.5.6.3	B.1.1.529.5.6.3	VOC
Omicron	BA.5.6.4	B.1.1.529.5.6.4	VOC
Omicron	BA.5.8	B.1.1.529.5.8	VOC
Omicron	BA.5.9	B.1.1.529.5.9	VOC
Mu	BB.2	B.1.621.1.2	VBM
Omicron	BC.1	BA.1.1.1.1	VOC
Omicron	BC.2	BA.1.1.1.2	VOC
Omicron	BD.1	BA.1.17.2.1	VOC
Omicron	BE.1	BA.5.3.1.1	VOC
Omicron	BE.1.1	BA.5.3.1.1.1	VOC
Omicron	BE.1.1.1	BA.5.3.1.1.1.1	VOC
Omicron	BE.1.1.2	BA.5.3.1.1.1.2	VOC
Omicron	BE.1.2	BA.5.3.1.1.2	VOC
Omicron	BE.1.2.1	BA.5.3.1.1.2.1	VOC
Omicron	BE.1.4	BA.5.3.1.1.4	VOC
Omicron	BE.1.4.1	BA.5.3.1.1.4.1	VOC
Omicron	BE.1.4.2	BA.5.3.1.1.4.2	VOC
Omicron	BE.1.4.3	BA.5.3.1.1.4.3	VOC
Omicron	BE.1.4.4	BA.5.3.1.1.4.4	VOC
Omicron	BE.10	BA.5.3.1.10	VOC
Omicron	BE.2	BA.5.3.1.2	VOC
Omicron	BE.3	BA.5.3.1.3	VOC
Omicron	BE.4	BA.5.3.1.4	VOC
Omicron	BE.4.1	BA.5.3.1.4.1	VOC
Omicron	BE.4.1.1	BA.5.3.1.4.1.1	VOC
Omicron	BE.4.2	BA.5.3.1.4.2	VOC
Omicron	BE.5	BA.5.3.1.5	VOC
Omicron	BE.6	BA.5.3.1.6	VOC
Omicron	BF.1	BA.5.2.1.1	VOC
Omicron	BF.1.1	BA.5.2.1.1.1	VOC
Omicron	BF.10	BA.5.2.1.10	VOC
Omicron	BF.10.1	BA.5.2.1.10.1	VOC
Omicron	BF.11	BA.5.2.1.11	VOC
Omicron	BF.11.1	BA.5.2.1.11.1	VOC
Omicron	BF.11.2	BA.5.2.1.11.2	VOC
Omicron	BF.11.3	BA.5.2.1.11.3	VOC
Omicron	BF.11.4	BA.5.2.1.11.4	VOC
Omicron	BF.11.5	BA.5.2.1.11.5	VOC
Omicron	BF.12	BA.5.2.1.12	VOC
Omicron	BF.13	BA.5.2.1.13	VOC
Omicron	BF.14	BA.5.2.1.14	VOC
Omicron	BF.15	BA.5.2.1.15	VOC
Omicron	BF.16	BA.5.2.1.16	VOC
Omicron	BF.17	BA.5.2.1.17	VOC
Omicron	BF.19	BA.5.2.1.19	VOC
Omicron	BF.2	BA.5.2.1.2	VOC
Omicron	BF.21	BA.5.2.1.21	VOC
Omicron	BF.22	BA.5.2.1.22	VOC
Omicron	BF.25	BA.5.2.1.25	VOC
Omicron	BF.26	BA.5.2.1.26	VOC
Omicron	BF.27	BA.5.2.1.27	VOC
Omicron	BF.28	BA.5.2.1.28	VOC
Omicron	BF.29	BA.5.2.1.29	VOC
Omicron	BF.30	BA.5.2.1.30	VOC
Omicron	BF.31	BA.5.2.1.31	VOC
Omicron	BF.31.1	BA.5.2.1.31.1	VOC
Omicron	BF.32	BA.5.2.1.32	VOC
Omicron	BF.34	BA.5.2.1.34	VOC
Omicron	BF.4	BA.5.2.1.4	VOC
Omicron	BF.5	BA.5.2.1.5	VOC
Omicron	BF.5.1	BA.5.2.1.5.1	VOC
Omicron	BF.6	BA.5.2.1.6	VOC
Omicron	BF.7	BA.5.2.1.7	VOC
Omicron	BF.7.1	BA.5.2.1.7.1	VOC
Omicron	BF.7.10	BA.5.2.1.7.10	VOC
Omicron	BF.7.11	BA.5.2.1.7.11	VOC
Omicron	BF.7.12	BA.5.2.1.7.12	VOC
Omicron	BF.7.13	BA.5.2.1.7.13	VOC
Omicron	BF.7.13.1	BA.5.2.1.7.13.1	VOC
Omicron	BF.7.13.2	BA.5.2.1.7.13.2	VOC
Omicron	BF.7.14	BA.5.2.1.7.14	VOC
Omicron	BF.7.14.1	BA.5.2.1.7.14.1	VOC
Omicron	BF.7.3	BA.5.2.1.7.3	VOC
Omicron	BF.7.4	BA.5.2.1.7.4	VOC
Omicron	BF.7.4.1	BA.5.2.1.7.4.1	VOC
Omicron	BF.7.4.2	BA.5.2.1.7.4.2	VOC
Omicron	BF.7.5	BA.5.2.1.7.5	VOC
Omicron	BF.7.5.1	BA.5.2.1.7.5.1	VOC
Omicron	BF.7.6	BA.5.2.1.7.6	VOC
Omicron	BF.7.7	BA.5.2.1.7.7	VOC
Omicron	BF.7.8	BA.5.2.1.7.8	VOC
Omicron	BF.7.9	BA.5.2.1.7.9	VOC
Omicron	BF.8	BA.5.2.1.8	VOC
Omicron	BF.9	BA.5.2.1.9	VOC
Omicron	BG.1	BA.2.12.1.1	VOC
Omicron	BG.2	BA.2.12.1.2	VOC
Omicron	BG.3	BA.2.12.1.3	VOC
Omicron	BG.4	BA.2.12.1.4	VOC
Omicron	BG.5	BA.2.12.1.5	VOC
Omicron	BH.1	BA.2.38.3.1	VOC
Omicron	BJ.1	BA.2.10.1.1	VOC
Omicron	BK.1	BA.5.1.10.1	VOC
Omicron	BL.1	BA.2.75.1.1	VOC
Omicron	BL.1.1	BA.2.75.1.1.1	VOC
Omicron	BL.1.3	BA.2.75.1.1.3	VOC
Omicron	BL.1.4	BA.2.75.1.1.4	VOC
Omicron	BL.3	BA.2.75.1.3	VOC
Omicron	BL.4	BA.2.75.1.4	VOC
Omicron	BL.5	BA.2.75.1.5	VOC
Omicron	BL.6	BA.2.75.1.6	VOC
Omicron	BM.3	BA.2.75.3.3	VOC
Omicron	BM.4	BA.2.75.3.4	VOC
Omicron	BM.4.1	BA.2.75.3.4.1	VOC
Omicron	BM.4.1.1	BA.2.75.3.4.1.1	VOC
Omicron	BM.5	BA.2.75.3.5	VOC
Omicron	BN.1	BA.2.75.5.1	VOC
Omicron	BN.1.1	BA.2.75.5.1.1	VOC
Omicron	BN.1.1.1	BA.2.75.5.1.1.1	VOC
Omicron	BN.1.10	BA.2.75.5.1.10	VOC
Omicron	BN.1.11	BA.2.75.5.1.11	VOC
Omicron	BN.1.2	BA.2.75.5.1.2	VOC
Omicron	BN.1.2.1	BA.2.75.5.1.2.1	VOC
Omicron	BN.1.3	BA.2.75.5.1.3	VOC
Omicron	BN.1.3.1	BA.2.75.5.1.3.1	VOC
Omicron	BN.1.4	BA.2.75.5.1.4	VOC
Omicron	BN.1.4.1	BA.2.75.5.1.4.1	VOC
Omicron	BN.1.5	BA.2.75.5.1.5	VOC
Omicron	BN.1.6	BA.2.75.5.1.6	VOC
Omicron	BN.1.7	BA.2.75.5.1.7	VOC
Omicron	BN.1.8	BA.2.75.5.1.8	VOC
Omicron	BN.1.9	BA.2.75.5.1.9	VOC
Omicron	BN.2	BA.2.75.5.2	VOC
Omicron	BN.2.1	BA.2.75.5.2.1	VOC
Omicron	BN.3	BA.2.75.5.3	VOC
Omicron	BN.3.1	BA.2.75.5.3.1	VOC
Omicron	BN.5	BA.2.75.5.5	VOC
Omicron	BN.6	BA.2.75.5.6	VOC
Omicron	BP.1	BA.2.3.16.1	VOC
Omicron	BQ.1	BE.1.1.1.1	VOC
Omicron	BQ.1.1	BE.1.1.1.1.1	VOC
Omicron	BQ.1.1.1	BE.1.1.1.1.1.1	VOC
Omicron	BQ.1.1.10	BE.1.1.1.1.1.10	VOC
Omicron	BQ.1.1.11	BE.1.1.1.1.1.11	VOC
Omicron	BQ.1.1.13	BE.1.1.1.1.1.13	VOC
Omicron	BQ.1.1.14	BE.1.1.1.1.1.14	VOC
Omicron	BQ.1.1.15	BE.1.1.1.1.1.15	VOC
Omicron	BQ.1.1.16	BE.1.1.1.1.1.16	VOC
Omicron	BQ.1.1.17	BE.1.1.1.1.1.17	VOC
Omicron	BQ.1.1.18	BE.1.1.1.1.1.18	VOC
Omicron	BQ.1.1.19	BE.1.1.1.1.1.19	VOC
Omicron	BQ.1.1.2	BE.1.1.1.1.1.2	VOC
Omicron	BQ.1.1.20	BE.1.1.1.1.1.20	VOC
Omicron	BQ.1.1.21	BE.1.1.1.1.1.21	VOC
Omicron	BQ.1.1.22	BE.1.1.1.1.1.22	VOC
Omicron	BQ.1.1.23	BE.1.1.1.1.1.23	VOC
Omicron	BQ.1.1.24	BE.1.1.1.1.1.24	VOC
Omicron	BQ.1.1.25	BE.1.1.1.1.1.25	VOC
Omicron	BQ.1.1.26	BE.1.1.1.1.1.26	VOC
Omicron	BQ.1.1.27	BE.1.1.1.1.1.27	VOC
Omicron	BQ.1.1.28	BE.1.1.1.1.1.28	VOC
Omicron	BQ.1.1.3	BE.1.1.1.1.1.3	VOC
Omicron	BQ.1.1.30	BE.1.1.1.1.1.30	VOC
Omicron	BQ.1.1.31	BE.1.1.1.1.1.31	VOC
Omicron	BQ.1.1.32	BE.1.1.1.1.1.32	VOC
Omicron	BQ.1.1.35	BE.1.1.1.1.1.35	VOC
Omicron	BQ.1.1.37	BE.1.1.1.1.1.37	VOC
Omicron	BQ.1.1.38	BE.1.1.1.1.1.38	VOC
Omicron	BQ.1.1.39	BE.1.1.1.1.1.39	VOC
Omicron	BQ.1.1.4	BE.1.1.1.1.1.4	VOC
Omicron	BQ.1.1.40	BE.1.1.1.1.1.40	VOC
Omicron	BQ.1.1.41	BE.1.1.1.1.1.41	VOC
Omicron	BQ.1.1.42	BE.1.1.1.1.1.42	VOC
Omicron	BQ.1.1.43	BE.1.1.1.1.1.43	VOC
Omicron	BQ.1.1.45	BE.1.1.1.1.1.45	VOC
Omicron	BQ.1.1.47	BE.1.1.1.1.1.47	VOC
Omicron	BQ.1.1.48	BE.1.1.1.1.1.48	VOC
Omicron	BQ.1.1.49	BE.1.1.1.1.1.49	VOC
Omicron	BQ.1.1.5	BE.1.1.1.1.1.5	VOC
Omicron	BQ.1.1.6	BE.1.1.1.1.1.6	VOC
Omicron	BQ.1.1.7	BE.1.1.1.1.1.7	VOC
Omicron	BQ.1.1.8	BE.1.1.1.1.1.8	VOC
Omicron	BQ.1.1.9	BE.1.1.1.1.1.9	VOC
Omicron	BQ.1.10	BE.1.1.1.1.10	VOC
Omicron	BQ.1.10.1	BE.1.1.1.1.10.1	VOC
Omicron	BQ.1.11	BE.1.1.1.1.11	VOC
Omicron	BQ.1.11.1	BE.1.1.1.1.11.1	VOC
Omicron	BQ.1.12	BE.1.1.1.1.12	VOC
Omicron	BQ.1.13	BE.1.1.1.1.13	VOC
Omicron	BQ.1.13.1	BE.1.1.1.1.13.1	VOC
Omicron	BQ.1.14	BE.1.1.1.1.14	VOC
Omicron	BQ.1.15	BE.1.1.1.1.15	VOC
Omicron	BQ.1.16	BE.1.1.1.1.16	VOC
Omicron	BQ.1.17	BE.1.1.1.1.17	VOC
Omicron	BQ.1.18	BE.1.1.1.1.18	VOC
Omicron	BQ.1.2	BE.1.1.1.1.2	VOC
Omicron	BQ.1.2.1	BE.1.1.1.1.2.1	VOC
Omicron	BQ.1.20	BE.1.1.1.1.20	VOC
Omicron	BQ.1.21	BE.1.1.1.1.21	VOC
Omicron	BQ.1.23	BE.1.1.1.1.23	VOC
Omicron	BQ.1.24	BE.1.1.1.1.24	VOC
Omicron	BQ.1.25	BE.1.1.1.1.25	VOC
Omicron	BQ.1.25.1	BE.1.1.1.1.25.1	VOC
Omicron	BQ.1.26	BE.1.1.1.1.26	VOC
Omicron	BQ.1.26.1	BE.1.1.1.1.26.1	VOC
Omicron	BQ.1.3	BE.1.1.1.1.3	VOC
Omicron	BQ.1.4	BE.1.1.1.1.4	VOC
Omicron	BQ.1.5	BE.1.1.1.1.5	VOC
Omicron	BQ.1.6	BE.1.1.1.1.6	VOC
Omicron	BQ.1.7	BE.1.1.1.1.7	VOC
Omicron	BQ.1.8	BE.1.1.1.1.8	VOC
Omicron	BQ.1.8.2	BE.1.1.1.1.8.2	VOC
Omicron	BQ.1.9	BE.1.1.1.1.9	VOC
Omicron	BQ.2	BE.1.1.1.2	VOC
Omicron	BR.1	BA.2.75.4.1	VOC
Omicron	BR.1.2	BA.2.75.4.1.2	VOC
Omicron	BR.2	BA.2.75.4.2	VOC
Omicron	BR.2.1	BA.2.75.4.2.1	VOC
Omicron	BR.3	BA.2.75.4.3	VOC
Omicron	BR.4	BA.2.75.4.4	VOC
Omicron	BR.5	BA.2.75.4.5	VOC
Omicron	BT.1	BA.5.1.21.1	VOC
Omicron	BT.2	BA.5.1.21.2	VOC
Omicron	BU.1	BA.5.2.16.1	VOC
Omicron	BU.2	BA.5.2.16.2	VOC
Omicron	BU.3	BA.5.2.16.3	VOC
Omicron	BV.1	BA.5.2.20.1	VOC
Omicron	BW.1	BA.5.6.2.1	VOC
Omicron	BW.1.1	BA.5.6.2.1.1	VOC
Omicron	BZ.1	BA.5.2.3.1	VOC
	C.1	B.1.1.1.1	
	C.1.2	B.1.1.1.1.2	
	C.36	B.1.1.1.36	
	C.36.3	B.1.1.1.36.3	
	C.36.3.1	B.1.1.1.36.3.1	
Lambda	C.37	B.1.1.1.37	21G
Omicron	CA.1	BA.2.75.2.1	VOC
Omicron	CA.2	BA.2.75.2.2	VOC
Omicron	CA.3	BA.2.75.2.3	VOC
Omicron	CA.3.1	BA.2.75.2.3.1	VOC
Omicron	CA.5	BA.2.75.2.5	VOC
Omicron	CA.6	BA.2.75.2.6	VOC
Omicron	CA.7	BA.2.75.2.7	VOC
Omicron	CC.1	BE.1.1.2.1	VOC
Omicron	CD.1	BA.5.2.31.1	VOC
Omicron	CD.2	BA.5.2.31.2	VOC
Omicron	CF.1	BA.5.2.27.1	VOC
Omicron	CH.1	BM.4.1.1.1	VOC
Omicron	CH.1.1	BM.4.1.1.1.1	VOC
Omicron	CH.1.1.1	BM.4.1.1.1.1.1	VOC
Omicron	CH.1.1.2	BM.4.1.1.1.1.2	VOC
Omicron	CH.1.1.3	BM.4.1.1.1.1.3	VOC
Omicron	CH.1.1.5	BM.4.1.1.1.1.5	VOC
Omicron	CH.1.1.6	BM.4.1.1.1.1.6	VOC
Omicron	CH.1.1.7	BM.4.1.1.1.1.7	VOC
Omicron	CH.1.1.8	BM.4.1.1.1.1.8	VOC
Omicron	CH.1.1.9	BM.4.1.1.1.1.9	VOC
Omicron	CH.2	BM.4.1.1.2	VOC
